year,title,total_titles
1912,animal a b c (an),10297
1912,animals at the zoo,10297
1912,animals' friend (the),10297
1912,the duties of employers under the national insurance act,10297
1912,my parisian year : a woman's point of view,10297
1912,nights and days,10297
1912,"lesson preparation : homely talks for sunday-school teachers, with numerous outline lessons",10297
1912,nan,10297
1912,annual county courts practice (the),10297
1912,annual digest (the),10297
1912,annual practice (the),10297
1912,annual register (the): a review of public events at home and abroad for the year,10297
1912,annuitants : mortality of government life: report,10297
1912,another gospel: which is not another,10297
1912,happy houses,10297
1912,the happy garden,10297
1912,"the life of admiral lord anson, the father of the british navy",10297
1912,the tinted venus,10297
1912,voces populi,10297
1912,answer of the archbishops of england to the apostolic letter of pope leo,10297
1912,answers to additional exercises in book-keeping,10297
1912,the promised land,10297
1912,in st,10297
1912,the tenses of the cross,10297
1912,bishops hatfield : some meniories of its past,10297
1912,success for boys,10297
1912,success for boys : a pocket handbk,10297
1912,how to become a certified midwife,10297
1912,fräulein schmidt and mr,10297
1912,apollonius rhodius—the argonautica,10297
1912,apostolic fathers (the),10297
1912,appian's roman history,10297
1912,the chorus girl,10297
1912,the clatter of the clogs,10297
1912,her sacrifice,10297
1912,into thy hands,10297
1912,lady dorothy's indiscretion,10297
1912,the man pays,10297
1912,the pantomime girl,10297
1912,sin : a novel,10297
1912,"apuleius—cupid and psyche, from the latin of apuleius, done into english verse in nine cantos by rev",10297
1912,apuleius—the golden asse,10297
1912,apuleius—the story of cupid and psyche,10297
1912,intensive culture of vegetables on the i'rench system : with a concise monthly calendar of operations,10297
1912,arabian nights' entertainments,10297
1912,arabian nights (the),10297
1912,arabian nights-stories from the arabian nights,10297
1912,"herbals, their origin and evolu- tion: a chapter in the history of botany",10297
1912,"on the fossil flora of the forest of dean coal-field (gloucestershire), and the relationships of the coalfields of the west of england and south wales",10297
1912,hellenes,10297
1912,archæological report,10297
1912,archaeological survey of egypt,10297
1912,lubrication and lubricants,10297
1912,the whirlpool,10297
1912,"an actor's notebooks : being some memories, friendships, criticisms and experiences",10297
1912,play-making: a manual of craftmanship,10297
1912,the decentralised sunday school : primary department,10297
1912,the danger of pointing the moral,10297
1912,sundays at the royal military college : sermons,10297
1912,the knightly years,10297
1912,is,10297
1912,aristophanes,10297
1912,aristophanes—plutus,10297
1912,aristotle's constitu on of athens,10297
1912,aristotle's politics,10297
1912,the early norman castles of the british,10297
1912,first year french for higher grade schools,10297
1912,"armourers, instructions for",10297
1912,the actor's panion,10297
1912,a century of great actors,10297
1912,the simple carbo- hydrates and the glucosides,10297
1912,a manual of infectious diseases occurring in schools,10297
1912,"zeph miller; or, a brother's love",10297
1912,the motor: an interesting practical work of original information and reference,10297
1912,just before the dawn,10297
1912,a memoir,10297
1912,"army-amendments, november ist",10297
1912,army-amendments to handbook for military artificers,10297
1912,is,10297
1912,army--artillery at the picardy man@uvres in,10297
1912,army-ceremonial,10297
1912,"army—clothing regulation amendments, iżd",10297
1912,army-engineer training,10297
1912,"army-equipment regulations, parts 1",10297
1912,"army-equipment regulations, part 2, section xb, field troop",10297
1912,"army-iquipment regulations, part 2, section x-f, signal company (air-line) regular army",10297
1912,"army-equipment regulations, part 2, section",10297
1912,"army-equipment regulations : part 3 (terri- torial force), section 9",10297
1912,"army-equipment regulations, part 3, terri- torial force : engineer details, section x",10297
1912,"army-fxamination papers, &c",10297
1912,"army-examination papers, &c",10297
1912,"army-examination papers, &c",10297
1912,"army-examination papers, officers of the army in modern foreign languages, june",10297
1912,nan,10297
1912,army-handbook for hotchkiss 6-pr,10297
1912,army-handbook of the,10297
1912,army-instructions for using the,10297
1912,army-manual of map reading and field sketching,10297
1912,"army-manual of military electric lighting, vol",10297
1912,army-military aeroplane competition,10297
1912,"army-military entrance examination papers, july",10297
1912,"army-musketry regulations, part 1",10297
1912,"army-ordnance services regulations, part i.",10297
1912,army--our indian empire,10297
1912,"army-peace establishments, part 2, territorial force, for",10297
1912,"army-promotion examination papers, may",10297
1912,army-regulations for recruiting for the regular army and the sepcial reserve,10297
1912,army-regulations for recruiting,10297
1912,"army-regulations under which commissions in the regular army may be obtained by officers of the military forces of the self-governing dominions, id. ; examination papers, &c",10297
1912,"army—royal garrison artillery, coast dcfences, instructions for practice seawards",10297
1912,"army-a short guide to obtaining a commission in his majesty's regular army, from april ist, ",10297
1912,"army-short guide to obtaining a commission in the special reserve of officers, id. ; regula- tions for the equipment of the army, part 2, section",10297
1912,"army-short history of the bedfordshire regi- ment, id. ",10297
1912,nan,10297
1912,"army-standing orders for the british force in egypt, is",10297
1912,"army-war amendments to army ordnance corps, standing orders, id. ; instructions for practice : horse, field and heavy artillery",10297
1912,army annual (the) and year book,10297
1912,army list,10297
1912,15s,10297
1912,darwin and the bible,10297
1912,the humour of science,10297
1912,fairy tales from the german forests,10297
1912,the benefactress,10297
1912,cornelia : latin readings for the second year,10297
1912,"the light of the world : or, the great renunciation",10297
1912,steamship navigation,10297
1912,honours easy,10297
1912,the storm-dog : a romance of cornwall,10297
1912,the soliloquies of shakespeare : a study in technic,10297
1912,essays in criticism,10297
1912,"the scholar gipsy; and, thyrsis",10297
1912,thoughts on education : chosen from the writings of matthew arnold,10297
1912,the king's business,10297
1912,arnold's practical sabbath school commentary on the international lessons,10297
1912,emmanuel : brief helps to medita- tion on the incarnate life of our lord,10297
1912,emmanuel : brief helps to meditation on the incarnate life of our lord,10297
1912,theories of solutions,10297
1912,"art annuals (the), collected vol",10297
1912,art prices current,10297
1912,the mysterious monsieur dumont,10297
1912,"arthur ; or, the chorister's rest",10297
1912,arthurian chronicles,10297
1912,ascensiones in corde: a collection of aspirations and ejaculations,10297
1912,one hundred and five sonnets,10297
1912,iaith and suggestion : including an account of the remarkable experi- ences of dorothy kerin,10297
1912,hypnotism and suggestion : a practical handbook,10297
1912,mental self-help : a practical handbook,10297
1912,nerves and the nervous,10297
1912,to whom shall we go? and other sermons,10297
1912,ashes of incense,10297
1912,wireless telegraphy and wireless telephony,10297
1912,children's stories from long- fellow,10297
1912,gold and prices,10297
1912,ashmolean museum summary guide,10297
1912,the apache,10297
1912,barbara : a novel,10297
1912,bess of bentley's,10297
1912,destiny,10297
1912,the dream daughter,10297
1912,the english woman,10297
1912,in lovers' lane,10297
1912,jennifer pontefracte,10297
1912,the king's signature,10297
1912,not proven,10297
1912,outlaw jess,10297
1912,scarlet town,10297
1912,the sporting chance,10297
1912,the sporting chance,10297
1912,the stolen lady,10297
1912,the stolen lady,10297
1912,testimony,10297
1912,the woman deborah,10297
1912,internal combustion engines and gas-producer,10297
1912,"the british west indies ; their history, resources and progress",10297
1912,outlines of the history of education,10297
1912,the legal position of trade unions,10297
1912,"modern weight-lifting, and how to gain strength",10297
1912,model flying machines: their design and construction,10297
1912,astronomical society of canada (royal) - journal,10297
1912,"general index to the monthly notices, vols",10297
1912,"annual, index to nos",10297
1912,julia france and her times : a novel,10297
1912,folk of the wild,10297
1912,the prodigal nephew,10297
1912,the home nurses' hand- book of practical nursing,10297
1912,practical sheet and plate metal work,10297
1912,common battery telephony simplified,10297
1912,"the magistrate's general prac- tice : with an appendix of statutes, rules and forms",10297
1912,greyfriars bobby,10297
1912,the king's favourite,10297
1912,english and welsh cathedrals,10297
1912,"the orientation of buildings; or, planning for sunlight",10297
1912,the master of being,10297
1912,thoughts are things,10297
1912,your mind and how to use it,10297
1912,the life of the right rev,10297
1912,"the bravest of the brave; michel ney, marshal of france, &c",10297
1912,text-book of theoretical naval architecture,10297
1912,geology and mineral resources of parts of the alaska peninsula (u.s. geol,10297
1912,shropshire,10297
1912,shropshire,10297
1912,marie claire,10297
1912,"valserine, and other stories",10297
1912,amateur joinery in the home,10297
1912,confessions,10297
1912,confessions,10297
1912,nan,10297
1912,soliloquies : a manual of con- templative prayer,10297
1912,s. aurelii augustini hipponensis episcopi liber de catechizandis rudibras,10297
1912,augustus—life,10297
1912,an introduction to quantitative analysis,10297
1912,thoughts of the emperor marcus aurelius antoninus (the),10297
1912,mansfield park,10297
1912,pride and prejudice,10297
1912,more recitations for infants,10297
1912,the story without an end,10297
1912,"australian bush, ironbark splinters from, gibson (g. h.)",10297
1912,"author as publisher (the) : or, why don't authors publish their own books? by o. and y",10297
1912,autocars of,10297
1912,autocars (the) of,10297
1912,"official motoring map of recommended routes, into, out of, round and across london",10297
1912,automobile engineer year book (the),10297
1912,godoy : the queen's favourite,10297
1912,the light side of london,10297
1912,"switzerland, in sunshine and snow",10297
1912,an anthology of babyhood,10297
1912,nan,10297
1912,"pre-historic times, as illustrated by ancient remains and the manners and customs of modern savages",10297
1912,on the consciousness of the universal and the individual : a contribution to the phenomenology of the thought processes,10297
1912,head of the school,10297
1912,talford's last term,10297
1912,the soul's destiny,10297
1912,"awakening of mary fenwick, whitby (b.)",10297
1912,the truth about a nunnery: the story of five years in a paris convent school,10297
1912,protection in war,10297
1912,castles in spain : the chronicles of an april month,10297
1912,ayres' cricket companion,10297
1912,ayres' lawn tennis almanack,10297
1912,pre-dynastic cemetery at el mahasna,10297
1912,faustula : in a.d,10297
1912,marotz: a romance,10297
1912,baby (the): a mother's book; by a mother,10297
1912,baby's book of wild animals,10297
1912,baby's nursery pictures,10297
1912,back garden beautiful (the) and what to grow and how to grow it,10297
1912,catalogue of,10297
1912,the making of the new testa- ment,10297
1912,"bacon craze (the): an answer to the shake- speare myth, by sir edwin durning-lawrence, bart",10297
1912,bacon's large scale atlas of london and suburbs,10297
1912,the official handbook for girl guides,10297
1912,sea scouting and seamanship for boys,10297
1912,bābur,10297
1912,berlin and its environs,10297
1912,palestine and syria,10297
1912,"baedeker's norway, sweden and denmark",10297
1912,physics and politics,10297
1912,the economic and moral aspect of the liquor business,10297
1912,casting of nets,10297
1912,darneley place,10297
1912,the italians of to-day,10297
1912,the history of the royal family of england,10297
1912,bahamas—report for,10297
1912,dysentery in fiji during the year,10297
1912,filariasis and elephantiasis in fiji : being a report to the london school of tropical medicine,10297
1912,bayreuth and the wagner theatre,10297
1912,ancient egypt,10297
1912,text-book of embryology,10297
1912,my lady of orange,10297
1912,the suburban,10297
1912,a note on robert louis stevenson,10297
1912,the southern milky way,10297
1912,verses,10297
1912,a shepherd of ken- sington,10297
1912,baily's hunting directory,10297
1912,bubbles of the foam,10297
1912,indian ethnography (castes and tribes),10297
1912,a winter holiday in portugal,10297
1912,lely and the stuart portrait painters,10297
1912,notes on the later cenozoic history of the mohave desert region in south-eastern california,10297
1912,indoor games for children and young people,10297
1912,austria : her people and their liomelands,10297
1912,mark tillotson : a novel,10297
1912,nan,10297
1912,a new geometry,10297
1912,spoof: a little book of men and other things,10297
1912,a city schoolgirl and her friends,10297
1912,corah's school chums,10297
1912,the relations of education to citizenship,10297
1912,1879,10297
1912,aspects of home rule,10297
1912,aspects of home rule : selections from speeches,10297
1912,in time's storerooms,10297
1912,life and letters of the rev,10297
1912,the rise and fall of nations,10297
1912,a quiet holiday,10297
1912,the law of libel as affecting news- papers and journalists,10297
1912,mathematical recreations and essays,10297
1912,oolay,10297
1912,ballads of scotland,10297
1912,cerebral decompression in ordinary practice : an address,10297
1912,the coral island,10297
1912,deep down,10297
1912,the dog crusoe and his master,10297
1912,the lighthouse,10297
1912,does faith need reasons ? а modern inquiry into christian reality and progress as related to intelligence,10297
1912,why does not god intervene ? and other questions,10297
1912,"insect pests of the lesser antilles, barbados",10297
1912,the cotton plant in egypt: studies in physiology and genetics,10297
1912,the ethical and religious value of the novel,10297
1912,an examination of professor bergson's philosophy,10297
1912,the technics of painting : an elementary guide for students and for artists,10297
1912,inorganic chemistry,10297
1912,spectroscopy,10297
1912,le colonel chabert; le curé de tonrs : contes,10297
1912,love in a mask,10297
1912,the rise and fall of césar birotteau,10297
1912,the tragedy of a genius,10297
1912,peace : an appeal by a pacifist,10297
1912,the veldt dwellers,10297
1912,"reconnaissance of the ore deposits in northern yuma county, arizona",10297
1912,"retrospection, political and personal",10297
1912,the shadow of neeme,10297
1912,band of hope annual (the) for,10297
1912,bangor diocesan calendar and clergy list,10297
1912,answers to the questions set at the examination held april,10297
1912,banking almanac and banking directory,10297
1912,"banking, railway and shipping statistics (ireland)",10297
1912,bankruptcy act proceedings,10297
1912,bankruptcy,10297
1912,a manual of philippine silk culture,10297
1912,"bismya; or, the lost city of adab",10297
1912,the development of doctrine from the early middle ages to the reformation,10297
1912,the development of doctrine in the early church,10297
1912,graduated passages for re- production,10297
1912,tactics made easy,10297
1912,bar examination questions : with outline answers by j. a. shearwood,10297
1912,in byways of scottish history,10297
1912,barbour (sir david)— the standard of value,10297
1912,a notable prisoner,10297
1912,barclay(florence i.)—through the postern gate : a romance in seven days,10297
1912,the upas tree,10297
1912,a dream of blue roses,10297
1912,the giant fisher,10297
1912,the activities of lavie jutt,10297
1912,letters from fleet street : a love story,10297
1912,the turco-italian war and its problems : with appendices containing the chief state papers bearing on the subject,10297
1912,electroplating,10297
1912,the church of england and her endowments : six sermons,10297
1912,twelve moons,10297
1912,longman's portfolio of selected historical illustrations : england in the middle ages,10297
1912,the development of the incandescent electric lamp,10297
1912,"the grey stocking, and other plays",10297
1912,family names and their story,10297
1912,village sermons to simple souls,10297
1912,"storm song, and other poems",10297
1912,on heating : the theory and practice of heating and ventilation,10297
1912,"modern germany : her political and economic problems, &c",10297
1912,the ratepayers' guide to the rating of houses and shops (outside the metropo- lis),10297
1912,the sentence of the judge,10297
1912,the girl's book about herself,10297
1912,how other people live,10297
1912,a new algebra,10297
1912,a new algebra,10297
1912,a new geometry,10297
1912,timothy's garden : children's play,10297
1912,to-morrow,10297
1912,the man of the mask : a study in the by-ways of history,10297
1912,woman in modern society,10297
1912,the divorce commission : the majority and minority reports summarised,10297
1912,"rifle and caravan ; or, two boys in fast africa",10297
1912,hilary on her own,10297
1912,john daunt,10297
1912,an anthology of english prose,10297
1912,the preparation of organic compounds,10297
1912,a queen of castaways,10297
1912,handbook on military sanitation for regimental officers,10297
1912,the blessed ministry of childhood,10297
1912,la ciudad de la niebla,10297
1912,exercises in french free com- position : for upper classes,10297
1912,the prince (judah),10297
1912,laughing through a wilderness,10297
1912,"lord stranleigh, philanthropist",10297
1912,in the midst of alarms,10297
1912,the palace of logs,10297
1912,the tempestuous petticoat,10297
1912,young lord stranleigh,10297
1912,the annals of hampstead,10297
1912,the jew of prague,10297
1912,the secret marriage,10297
1912,barrett (alfred wilson-:—the tower hill mystery,10297
1912,the royal prisoner of holdenby,10297
1912,a first class book of chemistry,10297
1912,a history of british mammals,10297
1912,peter pan in kensington gardens: from “ the little white bird,10297
1912,calendar (the): a quotation from the works of j. m. barrie for every day in the year,10297
1912,through greece and dalmatia : a diary of impressions,10297
1912,vines and vine culture,10297
1912,"the way not a sect, and other sermons",10297
1912,the value of cheerful- cap,10297
1912,the value of happiness,10297
1912,the value of sincerity and character,10297
1912,literature the word of life of death,10297
1912,"stories of pendennis and the charterhouse, from thackeray",10297
1912,barney boy,10297
1912,the empress eugénie and her circle,10297
1912,"catalogue of the books and papers for the most part relating to the university, town, and country of cambridge, bequeathed to the university by john willis clark",10297
1912,the citizen's atlas of the world,10297
1912,handy reference atlas of the world,10297
1912,a literary and historical atlas of asia,10297
1912,a school economic atlas,10297
1912,bartholomew's new map of central and south africa,10297
1912,bartholomew's orographical map of the united states and part of canada,10297
1912,bartholomew's war map of the balkan states,10297
1912,bartholomew's hospital-see st,10297
1912,banking and commercial tables between great britain and all the other parts of the world,10297
1912,bartolozzi and other stipple engravers working in engla at the end of the,10297
1912,an introduc- tion to practical physics : for schools and colleges,10297
1912,"cattle, sheep and pigs : their practical breeding and keeping",10297
1912,my book of favourite dogs,10297
1912,pheasants in covert and aviary,10297
1912,the heart of the christian message,10297
1912,denys of auxerre : a drama,10297
1912,human progress through missions,10297
1912,fifth scientific report on investigations of the imperial cancer research fund,10297
1912,everybody's boy,10297
1912,"the pentamerone; or, the story of stories",10297
1912,the early paleozoic bryozoa of the baltic provinces,10297
1912,wonders of plant life,10297
1912,lectures et exercices : cours supérieur,10297
1912,francis bacon wrote shakes- peare,10297
1912,morwenna's prince,10297
1912,sallie's children,10297
1912,everybody's life of general booth,10297
1912,the coping stone,10297
1912,do the dead depart ? and other questions,10297
1912,psychical science and christianity: a problem of the twentieth cen- tury,10297
1912,practical geometry and graphics,10297
1912,practical mathematics,10297
1912,the path of the conquista- dores : trinidad and venezuelan guiana,10297
1912,paul fleming,10297
1912,biological fact and the structure of society,10297
1912,to avoid national starvation,10297
1912,the credibility of the gospel (orpheus et l'evangile),10297
1912,history of the roman breviary,10297
1912,the last resort,10297
1912,battle of the north sea in,10297
1912,batty (j. a. staunton-our opportunity in china,10297
1912,brown bread from a colonial oven,10297
1912,romanesque architecture in france,10297
1912,chemistry for use in egyptian schools,10297
1912,chemistry for use in egyptian schools,10297
1912,junior practical chemistry,10297
1912,the english agricultural labourer,10297
1912,good citizenship: a scheme of correlating civics with religious instruction,10297
1912,the story of joan greencroft,10297
1912,"poems, dramatic and lyrical",10297
1912,"problems of men, mind and morals",10297
1912,british road book,10297
1912,"the lost language of symbolism: an inquiry into the origin of certain letters, words, names, &c",10297
1912,anima fanciulla : the maiden soul,10297
1912,under the she oaks,10297
1912,"the clinical pathology of syphilis and parasyphilis, and its value for diagnosis and controlling treatment",10297
1912,fairy tales from far away,10297
1912,the children of alsace,10297
1912,the penitent,10297
1912,de toute son ame,10297
1912,six contes: tires des souvenirs d'enfant et des contes debonne perrette,10297
1912,the barrier,10297
1912,the net,10297
1912,pardners,10297
1912,the silver horde,10297
1912,the spoilers,10297
1912,a white man's burden,10297
1912,how to make an orchard in british columbia,10297
1912,do-re-mi-fa : a family chroni- cle,10297
1912,the supreme court and the constitution,10297
1912,documents on the state-wide initiative referendum and recall,10297
1912,arithmetical examples,10297
1912,"beating to port, and other poems",10297
1912,essai sur le genre dramatique : le barbier de séville ; le mariage de figaro,10297
1912,my three big flights,10297
1912,works,10297
1912,joan seaton,10297
1912,solutions of the exercises in godfrey & siddons's solid geometry,10297
1912,my life,10297
1912,because i love you: love poems,10297
1912,photo- graphic lenses : a simple treatise,10297
1912,the episodes of vathek,10297
1912,earthworms and their allies,10297
1912,the anthropological history of europe,10297
1912,prescribers' formulary and index of pharmacy,10297
1912,maids in many moods,10297
1912,the last woman,10297
1912,princess zara,10297
